School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
500 REACH,KANSAS,2.01E+11,KS ,Wyandotte County,2-No,2-No,–,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,328,0,–,0,0,123,205,3,9,145,122,47,–,2,328,0,†
51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),New York,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),440,353,–,28,381,234,206,1,265,165,2,5,0,2,440,29,15.17
54TH STREET ACADEMY,MICHIGAN,2.62E+11,MI ,Kent County,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,116,93,–,7,100,64,52,0,1,38,44,29,2,2,116,4.2,27.62
5TH AND 6TH GRADE CTR.,Missouri,2.93E+11,MO ,Scott County,2-No,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,538,353,216,34,387,262,276,–,7,26,195,282,–,28,538,33.59,16.02
622 ALTERNATIVE MIDDLE/HIGH SCHOOL,Minnesota,2.72E+11,MN ,Ramsey County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
6TH GRADE CENTER,Texas,4.82E+11,TX ,Hunt County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,370,220,–,32,252,210,160,3,2,156,71,122,0,16,370,26.57,13.93
6TH GRADE CENTER,Missouri,2.93E+11,MO ,Pulaski County,2-No,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,456,160,125,62,222,245,211,6,10,36,61,281,12,50,456,29.38,15.52
6TH GRADE CENTER,PENNSYLVANIA,4.22E+11,PA ,Bucks County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,425,105,–,24,129,219,206,0,16,37,9,345,1,17,425,28.59,14.87
7 RIVERS COMMUNITY HIGH,Wisconsin,5.51E+11,WI ,La Crosse County,1-Yes,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,41,18,–,1,19,18,23,–,4,–,2,33,–,2,41,3,13.67
70 ONLINE,Colorado,80615006496,CO ,Pueblo County,2-No,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,No,153,65,3,12,77,83,70,1,0,57,4,78,0,13,153,6.28,24.36
72 E W 7,FLORIDA,1.20E+11,FL ,Orange County,2-No,†,†,11-City: Large,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
7TH AND 8TH GRADE ACADEMY,New Mexico,3.50E+11,NM ,San Miguel County,2-No,†,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),242,242,90,0,242,127,115,3,4,217,1,16,1,0,242,14.4,16.81
7TH AND 8TH GRADE ACADEMY,Oklahoma,4.02E+11,OK ,Muskogee County,2-No,†,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),732,732,385,0,732,388,344,133,7,124,138,172,–,158,732,40.91,17.89
7TH AND 8TH GRADE CENTER,Missouri,2.92E+11,MO ,St. Louis County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),431,431,428,0,431,229,202,–,1,5,414,7,–,4,431,33.63,12.82
7TH AND 8TH GRADE CTR.,Missouri,2.93E+11,MO ,Scott County,2-No,2-No,2-No,32-Town: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,505,302,195,32,334,253,252,–,1,18,158,285,–,43,505,38.06,13.27
7TH GRADE ACADEMY,Illinois,1.71E+11,IL ,St. Clair County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),239,216,–,0,216,124,115,–,–,1,224,6,–,8,239,12.7,18.82
7TH H S - NORTHEAST,Texas,4.84E+11,TX ,Williamson County,2-No,†,†,12-City: Mid-size,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
800 W BROADWAY,MINNESOTA,2.72E+11,MN ,Hennepin County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,17,14,–,0,14,12,5,0,1,3,13,0,0,0,17,5.8,2.93
800 W BROADWAY EXTENDED,MINNESOTA,2.72E+11,MN ,Hennepin County,2-No,2-No,1-Yes,11-City: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
8TH GRADE ACADEMY,Illinois,1.71E+11,IL ,St. Clair County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),204,184,–,0,184,91,113,–,–,3,187,5,–,9,204,13.7,14.89
916 MAHTOMEDI ACADEMY,Minnesota,2.70E+11,MN ,Ramsey County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,67,31,–,5,36,39,28,3,1,20,8,33,–,2,67,5.57,12.03
917 DASH,Minnesota,2.70E+11,MN ,Dakota County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,28,9,–,0,9,19,9,0,1,2,6,19,0,0,28,6.7,4.18
917 INTRA-DAKOTA EDUCATIONAL ALT,Minnesota,2.70E+11,MN ,Dakota County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,49,38,–,3,41,43,6,1,0,12,12,16,0,8,49,10.56,4.64
917 PACES,Minnesota,2.70E+11,MN ,Dakota County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,38,3,–,2,5,31,7,0,3,2,4,27,0,2,38,7.3,5.21
917 SUN,Minnesota,2.70E+11,MN ,Dakota County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,102,36,–,15,51,80,22,0,5,11,9,64,0,13,102,21.7,4.7
917 TRANSITIONAL EDUCATION SERV ALT,Minnesota,2.70E+11,MN ,Dakota County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,60,15,–,5,20,41,19,0,1,5,8,43,0,3,60,8.04,7.46
A & M CONS H S,Texas,4.81E+11,TX ,Brazos County,2-No,2-No,–,12-City: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,1713,498,–,92,590,874,839,9,142,416,239,845,0,62,1713,134.15,12.77
A & M CONSOLIDATED MIDDLE,Texas,4.81E+11,TX ,Brazos County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,911,350,–,48,398,454,457,3,64,255,156,400,2,31,911,59.26,15.37
A A ANASTASIA ELEMENTARY SCHOOL,New Jersey,3.41E+11,NJ ,Monmouth County,2-No,†,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,567,459,–,35,494,301,266,–,5,292,85,166,2,17,567,71,7.99
A A GATES ELEMENTARY SCHOOL,New York,3.62E+11,NY ,Cayuga County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes under Community Eligibility Option (CEO),455,215,–,3,218,230,225,0,0,12,3,428,0,12,455,34,13.38
A A KINGSTON MIDDLE SCHOOL,New York,3.62E+11,NY ,St. Lawrence County,2-No,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,416,152,–,14,166,232,184,2,11,8,5,386,1,3,416,27.52,15.12
A B CHANDLER ELEMENTARY SCHOOL,Kentucky,2.10E+11,KY ,Henderson County,†,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),309,186,–,4,190,176,133,–,–,15,13,249,–,32,309,21.6,14.31
A B DUNCAN EL,Texas,4.82E+11,TX ,Floyd County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),461,366,–,1,367,246,215,0,0,379,17,63,0,2,461,30.75,14.99
A B MCBAY EL,Texas,4.83E+11,TX ,Limestone County,2-No,2-No,–,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,463,353,–,17,370,240,223,2,4,200,115,129,0,13,463,34.5,13.42
A B MCDONALD ELEMENTARY SCHOOL,Idaho,1.60E+11,ID ,Latah County,2-No,2-No,2-No,32-Town: Distant,†,2-No,6-Not a Title I school,No,420,113,–,21,134,216,204,3,9,13,3,377,4,11,420,25.6,16.41
A B SHEPARD HIGH SCH (CAMPUS),Illinois,1.71E+11,IL ,Cook County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1744,1014,–,0,1014,921,823,–,26,457,426,797,–,38,1744,112.2,15.54
A C BLUNT MIDDLE,Texas,4.81E+11,TX ,San Patricio County,2-No,2-No,–,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,348,218,–,31,249,149,199,0,2,216,8,120,0,2,348,27.8,12.52
A C HOUGHTON ELEMENTARY SCHOOL,Oregon,4.11E+11,OR ,Morrow County,2-No,†,–,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),272,158,–,50,208,136,136,2,3,139,0,119,0,9,272,15.85,17.16
A C JONES H S,Texas,4.81E+11,TX ,Bee County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1033,593,–,0,593,531,502,0,7,838,33,143,1,11,1033,69.31,14.9
A C THOMPSON ELEM SCHOOL,Illinois,1.73E+11,IL ,Winnebago County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),280,127,–,0,127,148,132,–,18,46,49,150,–,17,280,18.6,15.05
A CHESTER REDSHAW SCHOOL,New Jersey,3.41E+11,NJ ,Middlesex County,2-No,†,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,1034,502,–,0,502,565,469,–,1,973,54,3,–,3,1034,78.25,13.21
A D OLIVER MIDDLE SCHOOL,New York,3.61E+11,NY ,Monroe County,2-No,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,744,290,–,49,339,372,372,0,15,66,28,592,0,43,744,77.63,9.58
A DREWICZ ELEMENTARY,Massachusetts,2.51E+11,MA ,Essex County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,492,–,304,–,–,234,258,2,78,319,47,28,0,18,492,34.6,14.22
A E ANGIER,Massachusetts,2.51E+11,MA ,Middlesex County,2-No,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,–,467,–,21,–,–,221,246,0,67,24,15,335,0,26,467,39.87,11.71
A E BUTLER INT,Texas,4.84E+11,TX ,Hunt County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,559,338,–,38,376,271,288,5,2,145,8,384,1,14,559,34.5,16.2
A E R O EDUCATIONAL CENTER,Illinois,1.70E+11,IL ,Cook County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,78,33,–,0,33,59,19,1,2,28,9,38,–,–,78,48,1.63
A ENGLISH LANGUAGE SCHOOL,Michigan,2.63E+11,MI ,Ingham County,2-No,2-No,2-No,13-City: Small,†,†,†,Yes participating without using any Provision or the CEO,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0,†
A F AMES ELEM SCHOOL,Illinois,1.73E+11,IL ,Cook County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,368,56,–,0,56,213,155,–,12,156,12,183,1,4,368,26.52,13.88
A F MALONEY,Massachusetts,2.50E+11,MA ,Worcester County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,–,299,–,67,–,–,147,152,0,5,20,5,253,0,16,299,20.55,14.55
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,New York,3.60E+11,NY ,Broome County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,586,276,–,32,308,286,300,0,6,25,12,528,0,15,586,55.03,10.65
A G COX MIDDLE,North Carolina,3.70E+11,NC ,Pitt County,2-No,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,812,314,–,29,343,434,378,3,13,45,420,284,0,47,812,47.2,17.2
A G ELDER EL,Texas,4.82E+11,TX ,Johnson County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,527,282,–,60,342,288,239,1,2,194,4,314,4,8,527,36.96,14.26
A G RICHARDSON ELEM,Virginia,5.10E+11,VA ,Culpeper County,2-No,2-No,2-No,32-Town: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,586,219,–,42,261,286,300,0,6,60,94,385,0,41,586,37.64,15.57
